timestamp,weekday,activity_type,taken_action
2024-08-05 00:00:00,Monday,sleep,Sleeping
2024-08-05 01:00:00,Monday,sleep,Sleeping
2024-08-05 02:00:00,Monday,sleep,Sleeping
2024-08-05 03:00:00,Monday,sleep,Sleeping
2024-08-05 04:00:00,Monday,sleep,Sleeping
2024-08-05 05:00:00,Monday,sleep,Sleeping
2024-08-05 06:00:00,Monday,sleep,Sleeping
2024-08-05 07:00:00,Monday,sleep,Sleeping
2024-08-05 08:00:00,Monday,recreation,I'm going to spend the next hour reading a book.
2024-08-05 09:00:00,Monday,transit,I plan to spend the next hour reading a book on my commute to work.
2024-08-05 10:00:00,Monday,professional,"I plan to spend the next hour reviewing and editing articles for the upcoming edition of ""Vedomosti"" journal, where I work as an associate editor."
2024-08-05 11:00:00,Monday,professional,"I plan to spend the next hour reviewing and editing articles for the upcoming edition of ""Vedomosti"" journal, where I work as an associate editor."
2024-08-05 12:00:00,Monday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in Russian politics."
2024-08-05 13:00:00,Monday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in the Russian media landscape."
2024-08-05 14:00:00,Monday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in the Russian media landscape."
2024-08-05 15:00:00,Monday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in the Russian media landscape."
2024-08-05 16:00:00,Monday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in the Russian media landscape."
2024-08-05 17:00:00,Monday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in the Russian media landscape."
2024-08-05 18:00:00,Monday,transit,I'm going to spend the next hour reading a book and having a snack.
2024-08-05 19:00:00,Monday,recreation,I'm going to spend the next hour reading a book.
2024-08-05 20:00:00,Monday,sleep,Sleeping
2024-08-05 21:00:00,Monday,sleep,Sleeping
2024-08-05 22:00:00,Monday,sleep,Sleeping
2024-08-05 23:00:00,Monday,sleep,Sleeping
2024-08-06 00:00:00,Tuesday,sleep,Sleeping
2024-08-06 01:00:00,Tuesday,sleep,Sleeping
2024-08-06 02:00:00,Tuesday,sleep,Sleeping
2024-08-06 03:00:00,Tuesday,sleep,Sleeping
2024-08-06 04:00:00,Tuesday,sleep,Sleeping
2024-08-06 05:00:00,Tuesday,sleep,Sleeping
2024-08-06 06:00:00,Tuesday,sleep,Sleeping
2024-08-06 07:00:00,Tuesday,sleep,Sleeping
2024-08-06 08:00:00,Tuesday,recreation,I'm going to spend the next hour reading a book.
2024-08-06 09:00:00,Tuesday,recreation,I'm going to spend the next hour reading a book.
2024-08-06 10:00:00,Tuesday,transit,I plan to spend the next hour reading a book on my commute.
2024-08-06 11:00:00,Tuesday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in the Russian media landscape."
2024-08-06 12:00:00,Tuesday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in Russian politics."
2024-08-06 13:00:00,Tuesday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in the Russian media landscape."
2024-08-06 14:00:00,Tuesday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in the Russian media landscape."
2024-08-06 15:00:00,Tuesday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in the Russian media landscape."
2024-08-06 16:00:00,Tuesday,professional,"I plan to work on an article for ""Vedomosti"" journal, focusing on a current event in the Russian media landscape."
